lat,lng,visit_time,interest,recommendation_factor_1,recommendation_factor_2,recommendation_factor_3,recommendation_factor_4,opening_hours,near_node
37.1777538,-3.5974143,44,1,0.5,0.25,0.75,1,"['Mo-Sa 12:00-23:59', 'Tu-Su 00:00-02:00']",1654435901
37.188706,-3.6213473,38,1,1,0.5,0.5,0.25,['Mo-Su 12:00-23:59'],7795617862
37.1855292,-3.6066406,52,9,0.5,0.25,0.75,1,"['Mo-We 13:30-16:00', 'Mo-We 18:00-23:30']",6178743376
37.1845962,-3.6086771,39,9,0.5,1,0.25,0.25,['Mo-Fr 09:00-14:00'],7614344915
37.1891030932568,-3.60474650937457,31,8,1,0.25,0.5,0.75,['Mo-Su 8:00-22:00'],7720526816
37.1558594,-3.5909563,30,4,1,0.75,0.75,0.5,['Sa 09:30-14:00'],8050021717
37.1729356,-3.6041301,44,5,0.25,1,0.75,0.25,"['Mo-Fr 13:30-18:00', 'Sa-Su 09:00-11:00']",7947657754
37.168563,-3.599163,59,2,0.5,0.75,0.25,1,"['We-Th 12:00-17:00', 'We-Th 20:00-23:00']",7931143333
37.1982358060742,-3.63781631260332,41,1,0.25,0.75,1,1,['Mo-Fr 08:30-20:30'],5933477937
37.176068,-3.5968606,56,6,0.25,0.75,0.5,1,['Mo-Su 05:30-22:00'],8167224786
37.1727275,-3.592686,48,2,1,0.25,1,0.5,"['We-Th 12:00-17:00', 'We-Th 20:00-23:00']",8239694510
37.1983986,-3.6118736,38,4,0.75,0.5,0.25,1,['Mo-Fr 09:00-14:00'],7617727697
37.1793686,-3.6107987,47,3,0.5,1,0.5,0.5,"['Tu-Su 13:00-16:00', 'Tu-Su 20:00-23:59']",1828460931
37.1825142,-3.5918837,27,1,0.25,0.75,1,0.25,['Mo-Sa 10:00-14:00'],8193574092
37.1763361,-3.6077964,34,9,1,0.75,0.25,0.25,['Mo-Fr 09:00-14:00'],7941926624
37.1894114,-3.6274351,26,10,1,0.25,0.5,0.75,['Mo-Fr 08:30-20:30'],1208065381
37.1787157895867,-3.58833348631285,20,4,0.75,0.25,0.5,1,['Sa 09:30-14:00'],1697601150
37.168652,-3.6051172,34,4,0.75,0.5,0.25,1,['24/7'],7829045720
37.1719613,-3.6023354,30,6,0.5,1,0.5,0.25,['24/7'],7965652996
37.1653555,-3.5945822,45,10,0.75,1,0.25,0.5,['Mo-We 7:00-14:00'],8077652327
37.2049611,-3.5961885,52,9,1,0.25,0.25,1,['Sa 09:30-14:00'],4963571462
37.1838123,-3.5933384,32,6,0.5,0.25,1,1,['Mo-Fr 08:30-20:30'],7849259796
37.1848084338113,-3.60213984213966,36,7,0.5,0.25,0.25,1,['Mo-Su 12:00-23:59'],7852761097
37.1790193,-3.5896949,46,3,0.5,1,0.5,0.25,"['Mo-Sa 12:00-23:59', 'Tu-Su 00:00-02:00']",7492361884
37.1896631,-3.6128227,46,5,0.25,0.5,0.5,1,['24/7'],318346631
37.1771687,-3.6022721,27,5,0.5,0.5,0.5,1,"['Mo-Sa 12:00-23:59', 'Tu-Su 00:00-02:00']",7991732994
37.1749217,-3.6000147,32,7,1,0.5,0.75,1,"['We-Th 12:00-17:00', 'We-Th 20:00-23:00']",484675507
37.1606975,-3.6084268,44,5,0.25,1,0.75,1,['Mo-We 7:00-14:00'],6055846594
37.1924365928418,-3.62630513219021,39,2,1,0.5,0.75,0.5,"['Mo-Sa 12:00-23:59', 'Tu-Su 00:00-02:00']",7679781511
37.1653357,-3.6048831,40,8,1,0.75,0.75,0.25,['Mo-We 7:00-14:00'],7413847071
37.1648353,-3.5885207,40,8,0.25,0.5,1,0.5,['Mo-Sa 10:00-14:00'],8137078832
37.1761047,-3.6011816,37,5,1,0.25,0.5,0.75,"['Mo-Th 11:30-17:00', 'Fr-Sa 13:00-19:30']",545778103
37.1807086,-3.5968887,20,7,0.5,1,0.75,1,"['Mo-We 13:30-16:00', 'Mo-We 18:00-23:30']",8182642181
37.1773354,-3.6002931,23,9,0.25,1,0.5,0.5,['Mo-Sa 10:00-14:00'],8016049345
37.1765359,-3.6000809,25,3,1,0.25,0.25,0.5,['Mo-Su 7:00-14:00'],49943504
37.1588454045037,-3.58874696504636,40,8,0.75,0.5,0.25,1,['Mo-Su 8:00-22:00'],6307783099
37.1781009,-3.5978807,57,2,0.25,1,1,0.25,['Mo-Fr 09:00-14:00'],8164137475
37.1713811,-3.605895,48,4,1,0.5,0.25,1,['Mo-Fr 09:00-14:00'],7949887876
37.1893171,-3.6101173,31,1,0.75,0.75,0.25,1,['Mo-Su 12:00-23:59'],6181602671
37.1770423,-3.6002592,29,6,1,0.25,0.5,0.75,['Mo-Sa 10:00-14:00'],1741269077
37.1778066,-3.6071329,33,6,0.25,0.25,1,1,['Sa 09:30-14:00'],7937138165
37.176257,-3.6048027,35,1,1,1,1,0.5,['Mo-Su 12:00-23:59'],7991715846
37.1741865,-3.5950216,51,9,0.75,1,0.25,0.25,"['Tu-Su 13:00-16:00', 'Tu-Su 20:00-23:59']",8212660353
37.1840237,-3.6093069,30,7,0.25,0.5,0.5,1,['Mo-Su 8:00-22:00'],7197229009
37.1817223,-3.5871078,40,7,0.75,0.5,1,1,"['Mo-Sa 12:00-23:59', 'Tu-Su 00:00-02:00']",53276878
37.197734953791,-3.61034198517257,44,3,0.25,0.5,1,0.5,"['Mo-We 13:30-16:00', 'Mo-We 18:00-23:30']",1919749363
37.1723861,-3.6038444,37,8,0.75,0.25,1,0.25,['Mo-We 7:00-14:00'],303991679
37.1603368,-3.5953272,44,7,0.25,0.75,0.75,1,['24/7'],8061973265
37.1726573246555,-3.59562871508608,44,3,1,0.25,0.25,0.5,"['We-Th 12:00-17:00', 'We-Th 20:00-23:00']",8123783709
37.1940627417646,-3.61547110501093,26,4,0.5,0.5,1,0.75,['Mo-Fr 09:00-14:00'],7572171019
37.1771658,-3.6083127,39,9,0.75,1,0.75,0.25,['24/7'],7937138135
37.1769062,-3.5970875,57,3,0.75,0.75,1,0.75,"['We-Th 12:00-17:00', 'We-Th 20:00-23:00']",8164137248
37.1998284068433,-3.60350938360299,37,10,1,1,0.5,1,['Mo-Su 8:00-22:00'],7793535426
37.1999634,-3.6128179,56,8,0.5,0.25,1,1,['Mo-Sa 10:00-14:00'],7783309601
37.1582587,-3.6080571,27,2,0.5,0.5,1,0.5,"['Tu-Su 13:00-16:00', 'Tu-Su 20:00-23:59']",7473317064
37.1644519941872,-3.60810520263576,28,2,1,1,0.5,0.25,"['Mo-Fr 13:30-18:00', 'Sa-Su 09:00-11:00']",5648584788
37.1903112,-3.6085207,53,7,1,0.75,0.75,0.5,['Mo-Su 05:30-22:00'],7736760716
37.1732655,-3.6008938,50,5,1,0.25,0.5,0.25,['24/7'],7950749424
37.1743498140594,-3.59844987049658,50,9,1,0.5,0.5,0.75,['Mo-Su 05:30-22:00'],534921610
37.1820729,-3.6002795,22,10,1,1,0.25,0.75,['Mo-Su 8:00-22:00'],8158224837
37.1685482,-3.6075852,35,2,0.75,0.25,0.75,1,"['Mo-We 13:30-16:00', 'Mo-We 18:00-23:30']",7405585951
37.1746407,-3.588809,57,3,1,0.5,0.25,0.75,['Mo-Fr 09:00-14:00'],2068192070
37.1826246,-3.5927214,54,2,0.25,1,0.5,0.25,['Mo-Su 7:00-14:00'],1115963018
37.1707322,-3.60053,24,6,1,0.5,0.25,0.25,['Mo-We 7:00-14:00'],7962050955
37.1815741115982,-3.60407345447005,35,8,1,0.75,0.75,0.5,['Sa 09:30-14:00'],7852992247
37.1748753189814,-3.59758517953728,58,4,0.5,1,0.5,0.75,"['Mo-Sa 12:00-23:59', 'Tu-Su 00:00-02:00']",1224372241
37.1734937,-3.6049005,43,3,1,0.5,0.75,1,['Mo-Su 06:00-09:00'],7950749451
37.169104,-3.6006874,55,3,1,1,0.75,0.5,"['Tu-Su 13:00-16:00', 'Tu-Su 20:00-23:59']",7959271312
37.1601958,-3.5981687,49,4,0.75,0.25,1,0.5,"['Mo-We 13:30-16:00', 'Mo-We 18:00-23:30']",8066129217
37.1701264,-3.5963443,23,6,0.5,1,0.25,0.25,['Mo-Sa 10:00-14:00'],8110794004
37.1769974,-3.6003213,42,2,0.25,1,0.75,0.25,['Mo-Fr 09:00-14:00'],1741269077
37.1766037710651,-3.60085278498956,42,9,1,0.75,0.25,0.75,['24/7'],6152459498
37.2105087,-3.6160312,46,5,1,0.5,0.75,0.5,['Mo-We 7:00-14:00'],7538272307
37.1535777,-3.5975547,33,9,0.75,0.5,1,0.5,['Mo-Fr 09:00-14:00'],8273706736
37.1725258,-3.6075354,43,3,0.25,0.75,1,0.75,"['We-Th 12:00-17:00', 'We-Th 20:00-23:00']",7822900471
37.1795665367255,-3.60552598705793,30,2,0.75,0.5,1,1,['Mo-Su 12:00-23:59'],5594872318
37.1606231856043,-3.59953379676124,57,4,0.75,0.5,1,0.5,['Mo-Su 12:00-23:59'],8068307456
37.1792473,-3.6132584,52,10,1,0.75,0.5,1,['Mo-Fr 09:00-14:00'],1351135558
37.1745809,-3.5955478,58,8,0.75,0.25,0.5,1,"['We-Th 12:00-17:00', 'We-Th 20:00-23:00']",1721802880
37.1772787,-3.6089691,39,1,0.5,1,0.5,1,"['Mo-Th 11:30-17:00', 'Fr-Sa 13:00-19:30']",7937138223
37.1720419,-3.6020873,52,2,1,0.5,0.75,0.25,['Sa 09:30-14:00'],303992576
37.1614905,-3.5940732,53,5,0.75,1,0.75,0.5,['Mo-Su 06:00-09:00'],8061990653
37.1759901,-3.5965166,56,1,0.5,0.75,0.75,1,['24/7'],1345327314
37.1983490195322,-3.60359595937479,27,6,0.5,1,0.5,0.25,['Mo-Sa 10:00-14:00'],582488816
37.1823328,-3.6030739,49,2,0.25,0.25,1,0.5,"['We-Th 12:00-17:00', 'We-Th 20:00-23:00']",7803820520
37.1618063159439,-3.58733674094433,39,9,1,0.5,0.25,0.25,['Mo-Fr 09:00-14:00'],7916923377
37.1770846,-3.5962638,21,9,1,0.25,0.25,0.75,"['Tu-Su 13:00-16:00', 'Tu-Su 20:00-23:59']",1074120945
37.1828394,-3.5939594,26,4,1,0.5,0.75,0.5,"['We-Th 12:00-17:00', 'We-Th 20:00-23:00']",8193382794
37.1892974,-3.6072576,46,6,1,0.75,0.25,0.5,['Mo-Su 8:00-22:00'],4060287308
37.1611970611387,-3.59527804778224,58,5,0.25,1,0.5,0.75,"['Tu-Su 13:00-16:00', 'Tu-Su 20:00-23:59']",1927424845
37.1711484,-3.5979662,44,6,0.25,0.5,0.25,1,['Mo-Fr 09:00-14:00'],354662177
37.1691051,-3.6008622,21,6,0.25,0.5,0.5,1,['24/7'],7959271312
37.1640131,-3.5933324,40,4,1,0.5,0.25,0.75,['Mo-Fr 08:30-20:30'],8084534523
37.1801691,-3.5786678,39,9,0.25,1,1,0.75,['Mo-We 7:00-14:00'],8618738446
37.157238,-3.5875548,31,9,0.25,1,0.25,0.75,['Mo-We 7:00-14:00'],7684737248
37.1593705433891,-3.58807635806078,33,8,0.5,0.75,1,1,['Mo-Su 12:00-23:59'],8050441155
37.1611849,-3.5850565,42,2,0.5,0.75,1,1,['Mo-Sa 10:00-14:00'],7861010125
37.1993492585829,-3.60017849097367,20,7,1,0.75,1,1,['Mo-Su 8:00-22:00'],1518843253
37.1735296696344,-3.59060154626204,49,1,1,0.5,0.75,1,['Mo-Fr 09:00-14:00'],8239694305
37.1853902,-3.6103476,43,5,0.25,0.25,0.75,1,['Mo-Su 05:30-22:00'],7649369610
