lng,lat,visit_time,interest,recommendation_factor_1,recommendation_factor_2,recommendation_factor_3,recommendation_factor_4,near_node,opening_hours
-3.6095761,37.1899118,50,9,1,0.5,0.75,1,7736760671,['Mo-Sa 10:00-14:00']
-3.6021055,37.1755138,57,1,1,0.5,0.25,0.25,7953859234,['Mo-Su 05:30-22:00']
-3.6003587,37.1745365,46,5,0.25,1,0.5,0.25,476034321,['Mo-Fr 09:00-14:00']
-3.6018414,37.1540154,54,2,1,1,1,0.5,8254460198,['Mo-Su 12:00-23:59']
-3.59880475944494,37.1648926492871,20,10,0.75,1,0.25,0.25,8068585360,['Mo-Su 8:00-22:00']
-3.594403,37.1566544,45,6,0.75,1,1,1,1426357270,['Sa 09:30-14:00']
-3.6050995,37.1726275,45,8,0.25,0.75,0.75,1,7947657751,['Mo-Su 06:00-09:00']
-3.60441,37.1718341,42,5,0.5,1,1,0.5,7950305408,['Mo-Fr 09:00-14:00']
-3.6030746,37.1787575,28,3,0.5,1,0.5,0.75,7991732981,['Mo-We 7:00-14:00']
-3.59996274571616,37.1731078192708,41,1,1,0.5,0.5,0.5,5997713788,['Mo-Su 05:30-22:00']
-3.6059283,37.1679584,50,4,1,1,0.25,0.25,7416732487,['Mo-Sa 10:00-14:00']
-3.5925353,37.1785175,51,1,1,0.5,1,0.5,7622575483,['24/7']
-3.6036675,37.1771351,33,5,0.75,1,1,0.25,7991732871,['Mo-We 7:00-14:00']
-3.58613332913118,37.1659017748881,31,7,0.75,0.25,1,0.25,1672387540,['Mo-Su 05:30-22:00']
-3.5993067,37.1730106,56,2,0.5,0.5,1,0.5,8107928646,"['Tu-Su 13:00-16:00', 'Tu-Su 20:00-23:59']"
-3.604309,37.1780012,55,4,1,0.75,1,0.75,7991732910,"['We-Th 12:00-17:00', 'We-Th 20:00-23:00']"
-3.6030157,37.1716311,21,6,0.75,0.5,1,0.75,7958703261,['Mo-Sa 10:00-14:00']
-3.5947699,37.1619003,59,4,0.25,1,0.5,0.25,5608023279,['Mo-Fr 08:30-20:30']
-3.6005171,37.1759394,26,3,1,0.5,0.25,1,5594245650,['Mo-Sa 10:00-14:00']
-3.5964644,37.1756484,52,9,0.5,1,1,0.5,8167224775,"['We-Th 12:00-17:00', 'We-Th 20:00-23:00']"
-3.59637373588882,37.1841996385777,50,10,0.5,0.25,0.5,1,1708795428,['24/7']
